World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2024,1.0,1.0,1.0,1.0,1.0,100.0
2,Massachusetts Institute of Technology,USA,2024,2.0,4.0,12.0,2.0,12.0,96.8
3,Stanford University,USA,2024,3.0,10.0,4.0,3.0,2.0,95.2
4,University of Cambridge,United Kingdom,2024,1.0,3.0,26.0,4.0,14.0,94.1
5,University of Oxford,United Kingdom,2024,2.0,7.0,28.0,9.0,6.0,93.3
6,Princeton University,USA,2024,4.0,5.0,15.0,7.0,83.0,92.6
7,Columbia University,USA,2024,5.0,12.0,14.0,10.0,15.0,92.1
8,University of Pennsylvania,USA,2024,6.0,14.0,8.0,43.0,13.0,91.6
9,Yale University,USA,2024,7.0,6.0,33.0,13.0,21.0,91.2
10,California Institute of Technology,USA,2024,8.0,2.0,100.0,6.0,89.0,90.8
11,University of Chicago,USA,2024,9.0,8.0,16.0,22.0,44.0,90.5
12,"University of California, Berkeley",USA,2024,10.0,9.0,61.0,5.0,20.0,90.1
13,University of Tokyo,Japan,2024,1.0,39.0,6.0,116.0,32.0,89.8
14,Cornell University,USA,2024,11.0,16.0,29.0,18.0,24.0,89.6
15,Northwestern University,USA,2024,12.0,106.0,17.0,30.0,30.0,89.3
16,"University of Michigan, Ann Arbor",USA,2024,13.0,35.0,42.0,63.0,9.0,89.1
17,"University of California, Los Angeles",USA,2024,14.0,34.0,67.0,17.0,16.0,88.9
18,Johns Hopkins University,USA,2024,15.0,24.0,207.0,20.0,8.0,88.6
19,PSL University,France,2024,1.0,17.0,31.0,115.0,76.0,88.4
20,University College London,United Kingdom,2024,3.0,41.0,682.0,14.0,7.0,88.3
21,Duke University,USA,2024,16.0,55.0,49.0,21.0,25.0,88.1
22,University of Illinois at Urbana–Champaign,USA,2024,17.0,19.0,148.0,11.0,80.0,87.9
23,University of Toronto,Canada,2024,1.0,210.0,165.0,23.0,3.0,87.7
24,New York University,USA,2024,18.0,38.0,44.0,45.0,47.0,87.6
25,University of Washington,USA,2024,19.0,74.0,220.0,24.0,10.0,87.4
